Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
766;Dongen;26222;14-10-2020;27-10-2020;217;827,5;6;22,9;1;3,8
505;Dordrecht;119284;14-10-2020;27-10-2020;1225;1027;1;0,8;5;4,2
498;Drechterland;19719;14-10-2020;27-10-2020;137;694,8;1;5,1;0;0
1719;Drimmelen;27272;14-10-2020;27-10-2020;202;740,7;0;0;1;3,7
303;Dronten;41555;14-10-2020;27-10-2020;143;344,1;3;7,2;1;2,4
225;Druten;18926;14-10-2020;27-10-2020;114;602,3;3;15,9;0;0
226;Duiven;25126;14-10-2020;27-10-2020;137;545,3;1;4;0;0
1711;Echt-Susteren;31610;14-10-2020;27-10-2020;98;310;1;3,2;1;3,2
385;Edam-Volendam;36197;14-10-2020;27-10-2020;360;994,6;9;24,9;0;0
228;Ede;117165;14-10-2020;27-10-2020;756;645,2;5;4,3;5;4,3
317;Eemnes;9247;14-10-2020;27-10-2020;63;681,3;0;0;0;0
770;Eersel;19313;14-10-2020;27-10-2020;174;900,9;3;15,5;1;5,2
1903;Eijsden-Margraten;25768;14-10-2020;27-10-2020;128;496,7;5;19,4;1;3,9
772;Eindhoven;234394;14-10-2020;27-10-2020;1544;658,7;10;4,3;11;4,7
230;Elburg;23161;14-10-2020;27-10-2020;91;392,9;1;4,3;0;0
114;Emmen;107048;14-10-2020;27-10-2020;513;479,2;6;5,6;5;4,7
388;Enkhuizen;18591;14-10-2020;27-10-2020;111;597,1;1;5,4;0;0
153;Enschede;159640;14-10-2020;27-10-2020;1540;964,7;4;2,5;10;6,3
232;Epe;33178;14-10-2020;27-10-2020;180;542,5;2;6;0;0
233;Ermelo;27008;14-10-2020;27-10-2020;122;451,7;0;0;0;0
777;Etten-Leur;43878;14-10-2020;27-10-2020;402;916,2;4;9,1;1;2,3
779;Geertruidenberg;21544;14-10-2020;27-10-2020;155;719,5;3;13,9;0;0
1771;Geldrop-Mierlo;39726;14-10-2020;27-10-2020;294;740,1;4;10,1;1;2,5
1652;Gemert-Bakel;30723;14-10-2020;27-10-2020;167;543,6;1;3,3;2;6,5
907;Gennep;16921;14-10-2020;27-10-2020;99;585,1;0;0;0;0
784;Gilze en Rijen;26431;14-10-2020;27-10-2020;200;756,7;1;3,8;2;7,6
1924;Goeree-Overflakkee;50049;14-10-2020;27-10-2020;330;659,4;7;14;5;10
664;Goes;38082;14-10-2020;27-10-2020;105;275,7;3;7,9;0;0
785;Goirle;23904;14-10-2020;27-10-2020;160;669,3;3;12,6;1;4,2
1942;Gooise Meren;58055;14-10-2020;27-10-2020;364;627;0;0;0;0
512;Gorinchem;37022;14-10-2020;27-10-2020;311;840;0;0;2;5,4
513;Gouda;73427;14-10-2020;27-10-2020;639;870,3;11;15;8;10,9
786;Grave;12436;14-10-2020;27-10-2020;106;852,4;4;32,2;1;8
